# reference point,[ 0.22671642  0.          0.        ],nfitpoints,12
0.00095,60.0112410323,58.6814444585,1.32979657373
0.002,60.2475055229,58.7754264762,1.47207904666
0.00295,60.2475055229,58.8981917879,1.34931373497
0.00395,60.3655210059,59.04054856,1.32497244584
0.005,60.6012994881,58.9177584453,1.68354104286
0.006,60.7190549611,59.0650794684,1.65397549269
0.007,60.8367162705,59.4413918482,1.39532442229
0.008,60.9542797029,59.5072113332,1.44706836973
0.009,61.0717415656,59.6270525763,1.44468898928
0.01,61.1890981869,59.74695476,1.44214342696
0.011,61.3063459165,59.8849307062,1.42141521031
0.012,61.4234811259,59.9757369521,1.44774417384
0.013,61.5405002089,60.1578830946,1.38261711427
0.014,61.6573995816,60.2367278659,1.42067171577
0.015,61.7741756833,60.3494258141,1.42474986922
0.016,61.8908249765,60.4587601929,1.43206478356
0.017,62.0073439472,60.5988690743,1.40847487287
0.018,62.1237291054,60.6919344339,1.43179467158
0.01895,62.1237291054,60.8744834704,1.24924563502
0.01995,62.2399769857,60.9533450958,1.28663188986
0.02095,62.356084147,61.0481440331,1.30794011391
0.02195,62.4720471733,61.1571596519,1.3148875214
0.02295,62.5878626738,61.3044516784,1.28341099544
0.02395,62.7035272836,61.4041742338,1.29935304988
0.02495,62.8190376634,61.5939059525,1.22513171087
0.02595,62.9343905002,61.6699044533,1.26448604686
0.02695,63.0495825074,61.7619011299,1.28768137748
0.02795,63.1646104254,61.8669301475,1.29768027793
0.02895,63.2794710216,62.0089169434,1.27055407812
0.02995,63.3941610904,62.1179854348,1.27617565568
0.03095,63.5086774543,62.1920774847,1.31659996963
0.03195,63.6230169633,62.379871363,1.24314560023
0.03295,63.7371764955,62.4728291192,1.26434737625
0.03395,63.8511529574,62.5734493913,1.27770356609
0.03495,63.9649432842,62.7019807507,1.26296253354
0.03595,64.0785444396,62.8262728333,1.25227160636
0.03695,64.1919534166,62.9082586358,1.28369478084
0.03795,64.3051672372,63.0885980783,1.21656915893
0.03895,64.418182953,63.1802636414,1.23791931158
0.03995,64.530997645,63.2770951246,1.25390252042
0.04095,64.6436084241,63.3825446455,1.26106377867
0.04195,64.7560124314,63.5234978396,1.23251459176
0.04295,64.8682068379,63.619935621,1.24827121689
0.04395,64.9801888449,63.6881330755,1.29205576943
0.04495,65.0919556845,63.8828886681,1.20906701638
0.04595,65.2035046192,63.9776959453,1.22580867384
0.04695,65.3148329423,64.0762190207,1.23861392156
0.04795,65.425937978,64.2009361672,1.22500181079
0.04895,65.5368170818,64.3213035105,1.21551357131
0.04995,65.6474676401,64.4004963463,1.24697129377
0.05095,65.7578870707,64.4704276337,1.28745943702
0.05195,65.8680728229,64.6738129837,1.19425983924
0.05295,65.9780223773,64.7680217479,1.21000062946
0.05395,66.0877332464,64.8682531632,1.21948008313
0.05495,66.1972029739,65.0014512375,1.19575173646
0.05595,66.3064291359,65.1035861064,1.2028430295
0.05695,66.4154093399,65.1734350317,1.24197430816
0.05795,66.5241412253,65.2236266399,1.30051458547
0.05895,66.6326224639,65.4563044289,1.17631803494
0.05995,66.7408507589,65.5499190799,1.19093167903
0.06095,66.8488238462,65.6510807847,1.19774306147
0.06195,66.9565394933,65.7843081067,1.17223138662
0.06295,67.0639955001,65.8752893736,1.18870612648
0.06395,67.1711896986,65.9403831676,1.23080653097
0.06495,67.2781199531,66.0984261479,1.17969380516
0.06595,67.3847841599,66.2294262945,1.15535786536
0.06695,67.4911802476,66.3220315509,1.16914869667
0.06795,67.597306177,66.4226614016,1.17464477547
0.06895,67.7031599413,66.5530995333,1.15006040796
0.06995,67.8087395654,66.6385530998,1.17018646565
0.07095,67.9140431069,66.7013312601,1.21271184684
0.07195,68.0190686553,66.728187312,1.29088134323
0.07295,68.1238143321,66.9922287137,1.13158561838
0.074,68.332458718,67.0879212093,1.24453750871
0.075,68.4363538306,67.1869302133,1.24942361732
0.076,68.5399618785,67.3142068409,1.22575503761
0.077,68.6432811432,67.397063478,1.24621766521
0.078,68.7463099382,67.4392903265,1.30701961165
0.079,68.8490466084,67.4818891921,1.36715741634
0.08,68.9514895307,67.7482463742,1.20324315647
0.081,69.0536371134,67.8374599566,1.21617715677
0.082,69.1554877963,67.9326579734,1.2228298229
0.083,69.2570400506,68.056390969,1.2006490816
0.084,69.3582923789,68.1431881192,1.21510425976
0.085,69.459243315,68.2042437454,1.25499956964
0.086,69.459243315,68.2362755365,1.22296777854
0.087,69.5598914237,68.4875281767,1.07236324697
0.088,69.7602735732,68.5750395928,1.18523398041
0.089,69.8600048982,68.6656035289,1.19440136931
0.09,69.959427964,68.7809436514,1.17848431264
0.091,70.0585414892,68.8781018412,1.18043964803
0.092,70.1573442228,68.9434554936,1.21388872915
0.093,70.255834944,68.989195286,1.26663965797
0.094,70.3540124622,68.984827098,1.36918536421
0.095,70.4518756166,69.3001341145,1.15174150207
0.096,70.5494232762,69.3865474764,1.16287579978
0.097,70.6466543399,69.4808465133,1.16580782654
0.098,70.7435677357,69.5967405576,1.14682717811
0.099,70.8401624213,69.6710586347,1.16910378664
0.1,70.9364373833,69.7367449125,1.19969247078
